Frequency (Hz),dB (Relative)
20,12.10000
21,13.16742
22,13.63960
23,12.00141
24,11.67643
25,15.74786
26,19.81929
27,22.02390
28,21.75390
29,21.48390
30,21.21390
31,21.28924
32,21.82237
33,22.35550
34,22.88862
35,23.42175
36,23.95488
37,24.48800
38,25.02113
39,25.55425
40,26.08738
41,26.16825
42,26.11404
43,26.05982
44,26.00560
45,25.95139
46,26.55296
47,27.32886
48,28.10476
49,28.88066
50,29.62716
51,29.91315
52,30.19914
53,30.48512
54,30.77111
55,31.05710
56,31.03099
57,30.94980
58,30.86861
59,30.78743
60,30.70624
61,30.58396
62,30.45140
63,30.31885
64,30.18630
65,30.05374
66,30.14111
67,30.33680
68,30.53250
69,30.72819
70,30.92388
71,31.05984
72,30.65825
73,30.25666
74,29.85506
75,29.45347
76,29.05188
77,28.65028
78,28.24869
79,27.84710
80,27.54109
81,27.44782
82,27.35456
83,27.26130
84,27.16803
85,27.07477
86,27.15477
87,27.39470
88,27.63464
89,27.87457
90,28.11451
91,28.35444
92,28.51547
93,28.50086
94,28.48624
95,28.47163
96,28.45701
97,28.44240
98,28.42779
99,28.41317
100,28.39856
101,28.38395
102,28.40264
103,28.43365
104,28.46467
105,28.49568
106,28.52669
107,28.55771
108,28.58872
109,28.61974
110,28.65075
111,28.68176
112,28.71278
113,28.74379
114,28.77480
115,28.75664
116,28.69121
117,28.62579
118,28.56037
119,28.49495
120,28.42953
121,28.36411
122,28.29869
123,28.23327
124,28.16785
125,28.10243
126,28.03701
127,27.97159
128,27.90617
129,27.84075
130,27.77533
131,27.70991
132,27.64449
133,27.57907
134,27.51364
135,27.44822
136,27.38280
137,27.31738
138,27.25196
139,27.18654
140,27.12112
141,27.05570
142,26.99028
143,26.92486
144,26.85944
145,26.79402
146,26.72860
147,26.66318
148,26.59776
149,26.53234
150,26.48330
151,26.49981
152,26.51633
153,26.53284
154,26.54935
155,26.56586
156,26.58238
157,26.59889
158,26.61540
159,26.63191
160,26.64843
161,26.66494
162,26.68145
163,26.69796
164,26.71447
