Frequency (Hz),dB (Relative)
20,-2.43000
21,-1.56818
22,-0.70636
23,0.15545
24,1.01727
25,1.87909
26,2.08544
27,1.63633
28,1.18721
29,0.73810
30,0.28898
31,0.28000
32,0.28000
33,0.28000
34,0.28000
35,0.27867
36,0.25200
37,0.22533
38,0.19867
39,0.17200
40,0.14533
41,0.12019
42,0.09543
43,0.07067
44,0.04590
45,0.02114
46,0.01000
47,0.01000
48,0.01000
49,0.01000
50,0.01000
51,0.01000
52,0.01000
53,0.01000
54,0.01000
55,0.01000
56,-0.11119
57,-0.24584
58,-0.38050
59,-0.51515
60,-0.64980
61,-0.76219
62,-0.87064
63,-0.97909
64,-1.08754
65,-1.19600
66,-1.30445
67,-1.30189
68,-1.21894
69,-1.13599
70,-1.05304
71,-0.97009
72,-0.88714
73,-0.82086
74,-0.97603
75,-1.13121
76,-1.28638
77,-1.49981
78,-1.75373
79,-2.00765
80,-2.29729
81,-2.64051
82,-2.97379
83,-3.06853
84,-3.16326
85,-3.25800
86,-3.35274
87,-3.44747
88,-3.54221
89,-3.63695
90,-3.73168
91,-3.82954
92,-3.93064
93,-4.03175
94,-4.13285
95,-4.23395
96,-4.33386
97,-4.41108
98,-4.48830
99,-4.56552
100,-4.64274
101,-4.71996
102,-4.65717
103,-4.57345
104,-4.48974
105,-4.40602
106,-4.32231
107,-4.23859
108,-4.15488
109,-4.07116
110,-3.98744
111,-3.90373
112,-3.82001
113,-3.73630
114,-3.65258
115,-3.56887
116,-3.48515
117,-3.40144
118,-3.31772
119,-3.23401
120,-3.15029
121,-3.06658
122,-2.98286
123,-2.89914
124,-2.81543
125,-2.73171
126,-2.64800
127,-2.56428
128,-2.48057
129,-2.39685
130,-2.31314
131,-2.22942
132,-2.14571
133,-2.06199
134,-1.97828
135,-1.89456
136,-1.81085
137,-1.72713
138,-1.64341
139,-1.55970
140,-1.47598
141,-1.39227
142,-1.30855
143,-1.22484
144,-1.14112
145,-1.05741
146,-0.97369
147,-0.88998
148,-0.80626
149,-0.72255
150,-0.63883
151,-0.55511
152,-0.47901
153,-0.40617
154,-0.33333
155,-0.26049
156,-0.18765
157,-0.11481
158,-0.04197
159,0.03087
160,0.10371
161,0.17655
162,0.24939
163,0.32223
164,0.39506
165,0.46790
166,0.54074
167,0.61358
168,0.68642
169,0.75926
170,0.83210
171,0.90494
172,0.97778
173,1.05062
174,1.12346
175,1.19630
176,1.26914
177,1.34198
178,1.41482
179,1.48766
180,1.56050
181,1.63334
182,1.70618
183,1.77902
184,1.85186
185,1.92470
186,1.99754
187,2.07038
188,2.14322
189,2.21606
190,2.28890
191,2.36174
192,2.43458
193,2.50742
194,2.58026
195,2.65310
196,2.72594
197,2.79878
198,2.87162
199,2.94446
200,3.01730
201,3.09014
202,3.16674
203,3.24597
204,3.32519
205,3.40441
206,3.48364
207,3.56286
208,3.64209
209,3.72131
210,3.80054
211,3.87976
212,3.95898
213,4.03821
214,4.11743
215,4.19666
216,4.27588
217,4.35510
218,4.43433
219,4.51355
220,4.59278
221,4.67200
222,4.75122
223,4.83045
224,4.90967
225,4.98890
226,5.06812
227,5.14735
228,5.22657
229,5.30579
230,5.38502
231,5.46424
232,5.54347
233,5.62269
234,5.70191
235,5.78114
236,5.86036
237,5.93959
238,6.01881
239,6.09803
240,6.17726
241,6.25648
242,6.33571
243,6.41493
244,6.49416
245,6.58335
246,6.67504
247,6.76673
248,6.85842
249,6.95010
250,7.04179
251,7.13348
252,7.22517
253,7.31686
254,7.40854
