Frequency (Hz),dB (Relative)
20,0.00000
21,8.39333
22,9.95080
23,8.50560
24,7.11086
25,12.00936
26,16.90786
27,18.17350
28,14.62350
29,11.07350
30,10.51127
31,10.56100
32,10.61073
33,10.66046
34,10.71019
35,10.75992
36,10.80965
37,10.85938
38,10.90910
39,10.95883
40,11.00856
41,11.10926
42,11.22517
43,11.34109
44,11.45701
45,11.57292
46,11.68884
47,11.73386
48,11.77816
49,11.82247
50,11.86677
51,11.91108
52,11.95538
53,11.94897
54,11.91758
55,11.88619
56,11.85480
57,11.87602
58,12.09513
59,12.31425
60,12.53337
61,12.75249
62,12.97161
63,13.19073
64,13.40985
65,13.62897
66,13.84809
67,14.45500
68,15.10500
69,15.75500
70,16.40500
71,16.91000
72,16.11000
73,15.31000
74,14.51000
75,14.08975
76,13.83224
77,13.57474
78,13.31724
79,13.05973
80,12.80223
81,12.47876
82,12.04298
83,11.60720
84,11.17142
85,10.74224
86,10.96612
87,11.19000
88,11.41388
89,11.63776
90,11.86164
91,12.08552
92,12.26696
93,12.35391
94,12.44087
95,12.52783
96,12.61478
97,12.70174
98,12.78870
99,12.87565
100,12.99615
101,13.15157
102,13.30698
103,13.46239
104,13.61781
105,13.77322
106,13.92864
107,14.08405
108,14.12537
109,14.10251
110,14.07965
111,14.05679
112,14.03394
113,14.01108
114,13.98822
115,13.96536
116,13.94250
117,13.91964
118,13.89679
119,13.87393
120,13.85107
121,13.82821
122,13.80535
123,13.78249
124,13.75963
125,13.73678
126,13.71392
127,13.69106
128,13.66820
129,13.64534
130,13.62248
131,13.59962
132,13.57677
133,13.55391
134,13.53105
135,13.50819
136,13.48533
137,13.46247
138,13.43962
139,13.41676
140,13.39390
141,13.37104
142,13.34818
143,13.32532
144,13.30246
145,13.27961
146,13.25675
147,13.23389
148,13.21103
149,13.18819
150,13.16559
151,13.14298
152,13.12038
153,13.09777
154,13.07517
155,13.05256
156,13.02996
157,13.00735
158,12.98475
159,12.96214
160,12.93954
161,12.91693
162,12.89433
163,12.87173
164,12.84912
165,12.82652
166,12.80391
167,12.78131
168,12.75870
169,12.73610
170,12.71349
171,12.69089
172,12.66828
173,12.64568
174,12.62307
175,12.60047
176,12.57786
177,12.55526
178,12.53265
179,12.51005
180,12.48745
181,12.46484
182,12.44224
183,12.41963
184,12.39703
185,12.37442
186,12.35182
187,12.32921
188,12.30661
189,12.28400
190,12.26140
191,12.23879
192,12.21619
193,12.19358
194,12.17098
195,12.14837
196,12.12577
197,12.10316
198,12.10643
199,12.11391
200,12.12138
201,12.12886
202,12.13633
203,12.14381
204,12.15129
205,12.15876
206,12.16624
207,12.17372
208,12.18119
209,12.18867
210,12.19615
211,12.20362
212,12.21110
213,12.21857
214,12.22605
215,12.23353
216,12.24100
217,12.24848
218,12.25596
219,12.26343
220,12.27091
221,12.27838
222,12.28586
223,12.29334
224,12.30081
225,12.30829
226,12.31577
227,12.32324
228,12.33072
229,12.33819
230,12.34567
231,12.35315
232,12.36062
233,12.36810
234,12.37558
235,12.38305
236,12.39053
237,12.39801
238,12.40548
239,12.41296
240,12.42043
241,12.42791
242,12.43539
243,12.44286
244,12.45034
245,12.45782
246,12.46529
247,12.47277
248,12.48024
249,12.48772
250,12.49520
251,12.50267
252,12.51064
253,12.54266
254,12.57469
255,12.60671
256,12.63873
257,12.67075
258,12.70277
259,12.73480
260,12.76682
261,12.79884
262,12.83086
263,12.86289
264,12.89491
265,12.92693
266,12.95895
267,12.99098
268,13.02300
269,13.05502
270,13.08704
271,13.11907
272,13.15109
273,13.18311
274,13.21513
275,13.24715
276,13.27918
277,13.31120
278,13.34322
279,13.37524
280,13.40727
281,13.43929
282,13.47131
283,13.50333
284,13.53536
285,13.56738
286,13.59940
287,13.63142
288,13.66345
289,13.69547
290,13.72749
291,13.75951
292,13.79153
293,13.82356
294,13.85558
295,13.88760
296,13.91962
297,13.95165
298,13.98367
299,13.97019
300,13.90935
301,13.84851
302,13.78766
303,13.72682
304,13.66598
305,13.60514
306,13.54430
307,13.48346
308,13.42262
309,13.36178
310,13.30094
311,13.24009
312,13.17925
313,13.11841
314,13.05757
315,12.99673
316,12.93589
317,12.87505
318,12.81421
319,12.75336
320,12.69252
321,12.63168
322,12.57084
323,12.51000
324,12.44916
325,12.38832
326,12.32748
327,12.26664
328,12.20579
329,12.14495
330,12.08411
331,12.02327
332,11.96243
333,11.90159
334,11.84075
335,11.77991
336,11.71906
337,11.65822
338,11.59738
