Frequency (Hz),dB (Relative)
20,0.00000
21,0.15305
22,0.12144
23,0.08984
24,0.05824
25,0.02664
26,0.08478
27,0.16678
28,0.24878
29,0.33078
30,0.41278
31,0.37860
32,0.31354
33,0.24848
34,0.18342
35,0.17733
36,0.20441
37,0.23149
38,0.25857
39,0.28565
40,0.32341
41,0.37323
42,0.42304
43,0.47286
44,0.52268
45,0.56887
46,0.54618
47,0.52348
48,0.50079
49,0.47810
50,0.45541
51,0.43272
52,0.43000
53,0.43000
54,0.43000
55,0.43000
56,0.44364
57,0.46937
58,0.49511
59,0.52085
60,0.54658
61,0.56789
62,0.54444
63,0.52099
64,0.49754
65,0.47409
66,0.45064
67,0.42270
68,0.36189
69,0.30108
70,0.24027
71,0.17946
72,0.19882
73,0.25590
74,0.31298
75,0.37006
76,0.42715
77,0.43000
78,0.43000
79,0.43000
80,0.43000
81,0.43000
82,0.43000
83,0.43000
84,0.43000
85,0.43000
86,0.43000
87,0.43000
88,0.43000
89,0.43000
90,0.43000
91,0.42117
92,0.39732
93,0.37347
94,0.34961
95,0.32576
96,0.30191
97,0.30000
98,0.30000
99,0.30000
100,0.30250
101,0.30760
102,0.31270
103,0.31780
104,0.32290
105,0.32800
106,0.33310
107,0.33820
108,0.34330
109,0.34840
110,0.35350
111,0.35860
112,0.36370
113,0.36880
114,0.37390
115,0.37900
116,0.38410
117,0.38920
118,0.39430
119,0.39940
120,0.40450
121,0.40960
122,0.41470
123,0.41980
124,0.42490
125,0.43000
126,0.43510
127,0.44020
128,0.44530
129,0.45040
130,0.45550
131,0.46060
132,0.46570
133,0.47080
134,0.47590
135,0.48100
136,0.48610
137,0.49120
138,0.49630
139,0.50140
140,0.50650
141,0.51160
142,0.51670
143,0.52180
144,0.52690
145,0.53200
146,0.53710
147,0.54220
148,0.54730
149,0.55240
150,0.55750
151,0.56260
152,0.56770
153,0.57141
154,0.57399
155,0.57656
156,0.57913
157,0.58170
158,0.58428
159,0.58685
160,0.58942
161,0.59199
162,0.59456
163,0.59714
164,0.59971
165,0.60228
166,0.60485
167,0.60743
168,0.61000
169,0.61257
170,0.61514
171,0.61771
172,0.62029
173,0.62286
174,0.62543
175,0.62800
176,0.63058
177,0.63315
178,0.63572
179,0.63829
180,0.64086
181,0.64344
182,0.64601
183,0.64858
184,0.65115
185,0.65373
186,0.65630
187,0.65887
188,0.66144
189,0.66401
190,0.66659
191,0.66916
192,0.67173
193,0.67430
194,0.67688
195,0.67945
196,0.68202
197,0.68459
198,0.68716
199,0.68974
200,0.69231
201,0.69488
202,0.69745
203,0.69994
204,0.69426
205,0.68858
206,0.68290
207,0.67722
208,0.67153
209,0.66585
210,0.66017
211,0.65449
212,0.64881
213,0.64313
214,0.63744
215,0.63176
216,0.62608
217,0.62040
218,0.61472
219,0.60903
220,0.60335
221,0.59767
222,0.59199
223,0.58631
224,0.58062
225,0.57494
226,0.56926
227,0.56358
228,0.55790
229,0.55222
230,0.54653
231,0.54085
232,0.53517
233,0.52949
234,0.52381
235,0.51812
236,0.51244
237,0.50676
238,0.50108
239,0.49540
240,0.48972
241,0.48403
242,0.47835
243,0.47267
244,0.46699
245,0.46131
246,0.45562
247,0.44994
248,0.44426
249,0.43858
250,0.43290
251,0.43240
252,0.43731
253,0.44221
254,0.44711
255,0.45202
256,0.45692
257,0.46183
258,0.46673
259,0.47163
260,0.47654
261,0.48144
262,0.48634
263,0.49125
264,0.49615
265,0.50106
266,0.50596
267,0.51086
268,0.51577
269,0.52067
270,0.52557
271,0.53048
272,0.53538
273,0.54029
274,0.54519
275,0.55009
276,0.55500
277,0.55990
278,0.56480
279,0.56971
280,0.57461
281,0.57952
282,0.58442
283,0.58932
284,0.59423
285,0.59913
286,0.60403
287,0.60894
288,0.61384
289,0.61875
290,0.62365
291,0.62855
292,0.63346
293,0.63836
294,0.64326
295,0.64817
296,0.65307
297,0.65797
298,0.66288
299,0.66778
300,0.67269
301,0.67759
302,0.68249
303,0.68740
304,0.69230
305,0.69720
306,0.69809
307,0.69364
308,0.68919
309,0.68474
310,0.68029
311,0.67584
312,0.67139
313,0.66694
314,0.66249
315,0.65804
316,0.65359
317,0.64914
318,0.64469
319,0.64024
320,0.63579
321,0.63134
322,0.62689
323,0.62244
324,0.61799
325,0.61354
326,0.60910
327,0.60465
328,0.60020
329,0.59575
330,0.59130
331,0.58685
332,0.58240
333,0.57795
334,0.57350
335,0.56905
336,0.56460
337,0.56015
338,0.55570
339,0.55125
340,0.54680
341,0.54235
342,0.53790
343,0.53345
344,0.52900
345,0.52455
346,0.52010
347,0.51565
348,0.51120
349,0.50676
350,0.50231
351,0.49786
352,0.49341
353,0.48896
354,0.48451
355,0.48006
356,0.47561
357,0.47116
358,0.46671
359,0.46226
360,0.45781
361,0.45336
362,0.44891
363,0.44446
364,0.44001
365,0.43556
366,0.43111
367,0.43715
368,0.44668
369,0.45621
370,0.46575
371,0.47528
372,0.48481
373,0.49435
374,0.50388
375,0.51341
376,0.52294
377,0.53248
378,0.54201
379,0.55154
380,0.56107
381,0.57061
382,0.58014
383,0.58967
384,0.59920
385,0.60874
386,0.61827
387,0.62780
388,0.63734
389,0.64687
390,0.65640
391,0.66593
392,0.67547
393,0.68500
394,0.69453
395,0.70406
396,0.71360
397,0.72313
398,0.73266
399,0.74219
400,0.75173
401,0.76126
402,0.77079
403,0.78033
404,0.78986
405,0.79939
406,0.80892
407,0.81846
408,0.82799
409,0.83752
410,0.84000
411,0.84000
412,0.84000
413,0.84000
414,0.84000
415,0.84000
416,0.84000
417,0.84000
418,0.84000
419,0.84000
420,0.84000
421,0.84000
422,0.84000
423,0.84000
424,0.84000
425,0.84000
426,0.84000
427,0.84000
428,0.84000
429,0.84000
430,0.84000
431,0.84000
432,0.84000
433,0.84000
434,0.84000
435,0.84000
436,0.84000
437,0.84000
438,0.84000
439,0.84000
440,0.84000
441,0.84000
442,0.84000
443,0.84000
444,0.84000
445,0.84000
446,0.84000
447,0.84000
448,0.84000
449,0.84000
450,0.84000
451,0.84000
452,0.84000
453,0.84000
454,0.84000
455,0.85180
456,0.88551
457,0.91922
458,0.95293
459,0.98665
460,1.02036
461,1.05407
462,1.08778
463,1.12149
464,1.15521
465,1.18892
466,1.22263
467,1.25634
468,1.29005
469,1.32377
470,1.35748
471,1.39119
472,1.42490
473,1.45861
474,1.49232
475,1.52604
476,1.55975
477,1.59346
478,1.62717
479,1.66088
480,1.69460
481,1.72831
482,1.76202
483,1.79573
484,1.82944
485,1.86315
486,1.89687
487,1.93058
488,1.96429
489,1.99800
490,2.03171
491,2.06543
492,2.09914
493,2.13285
494,2.16656
495,2.20027
496,2.23399
497,2.26770
498,2.30141
499,2.33512
500,2.36883
501,2.40254
502,2.43626
503,2.46997
504,2.50368
505,2.53739
506,2.57110
507,2.60482
508,2.63853
509,2.67224
510,2.70595
511,2.73966
512,2.74534
513,2.75073
514,2.75612
515,2.76151
516,2.76690
517,2.77229
518,2.77769
519,2.78308
520,2.78847
521,2.79386
522,2.79925
523,2.80464
524,2.81003
525,2.81543
526,2.82082
527,2.82621
528,2.83160
529,2.83699
530,2.84238
531,2.84777
532,2.85316
533,2.85856
534,2.86395
535,2.86934
536,2.87473
537,2.88012
538,2.88551
539,2.89090
540,2.89630
541,2.90169
542,2.90708
543,2.91247
544,2.91786
545,2.92325
546,2.92864
547,2.93404
548,2.93943
549,2.94482
550,2.95021
551,2.95560
552,2.96099
553,2.96638
554,2.97178
555,2.97717
556,2.98256
557,2.98795
558,2.99334
559,2.99873
560,3.00412
561,3.00951
562,3.02808
563,3.04796
564,3.06783
565,3.08770
566,3.10757
567,3.12745
568,3.14732
569,3.16719
570,3.18706
571,3.20694
572,3.22681
573,3.24668
574,3.26655
575,3.28643
576,3.30630
577,3.32617
578,3.34604
579,3.36592
580,3.38579
581,3.40566
582,3.42553
583,3.44540
584,3.46528
585,3.48515
586,3.50502
587,3.52489
588,3.54477
589,3.56464
590,3.58451
591,3.60438
592,3.62426
593,3.64413
594,3.66400
595,3.68387
596,3.70375
597,3.72362
598,3.74349
599,3.76336
600,3.78324
601,3.80311
602,3.82398
603,3.85049
604,3.87700
605,3.90351
606,3.93002
607,3.95653
608,3.98304
