Frequency (Hz),dB (Relative)
20,1.90000
21,2.09818
22,2.29636
23,2.49455
24,2.69273
25,2.89091
26,3.00494
27,3.03483
28,3.06471
29,3.09460
30,3.15446
31,3.38419
32,3.61392
33,3.84365
34,4.07338
35,4.30311
36,4.40552
37,4.08171
38,3.75790
39,3.43410
40,3.12000
41,3.12000
42,3.12000
43,3.12000
44,3.12000
45,3.26475
46,3.43307
47,3.60139
48,3.76970
49,3.92438
50,4.07607
51,4.22775
52,4.37944
53,4.53112
54,4.78405
55,5.14664
56,5.50924
57,5.87183
58,6.23443
59,6.54982
60,6.71571
61,6.88161
62,7.04751
63,7.21341
64,7.37931
65,7.54521
66,7.49407
67,7.36266
68,7.23125
69,7.12063
70,7.02331
71,6.92599
72,6.82866
73,6.75193
74,6.69580
75,6.63967
76,6.58353
77,6.52740
78,6.47368
79,6.42105
80,6.36842
81,6.31579
82,6.26316
83,6.21472
84,6.16957
85,6.12441
86,6.07926
87,6.03411
88,5.98896
89,5.97817
90,5.99225
91,6.00634
92,6.02042
93,6.03451
94,6.04859
95,6.06268
96,6.07676
97,6.09085
98,6.11951
99,6.17527
100,6.23103
101,6.28678
102,6.34254
103,6.39830
104,6.45405
105,6.50981
106,6.56557
107,6.62132
108,6.67708
109,6.73283
110,6.78859
111,6.84435
112,6.90010
113,6.95586
114,7.01162
115,7.06737
116,7.12313
117,7.17888
118,7.26482
119,7.35136
120,7.43791
121,7.52445
122,7.61100
123,7.69755
124,7.78409
125,7.87064
126,7.95719
127,8.04373
128,8.13028
129,8.21683
130,8.30337
131,8.38992
132,8.47647
133,8.56301
134,8.64956
135,8.73611
136,8.82265
137,8.90920
138,8.99574
139,9.08229
140,9.16884
141,9.25538
142,9.34193
143,9.42848
144,9.51502
145,9.60157
146,9.68812
147,9.77466
148,9.86121
149,9.94776
150,10.03430
151,10.12085
152,10.20740
153,10.29394
154,10.25721
155,10.21119
156,10.16518
157,10.11917
158,10.07315
159,10.02714
160,9.98113
161,9.93511
162,9.88910
163,9.84309
164,9.79707
165,9.75106
166,9.70504
167,9.65903
168,9.61302
169,9.56700
170,9.52099
171,9.47498
172,9.42896
173,9.38295
174,9.33694
175,9.29092
176,9.24491
177,9.19890
178,9.15288
179,9.10687
180,9.06085
181,9.01484
182,8.96883
183,8.92281
184,8.87680
185,8.83079
186,8.78477
187,8.73876
188,8.69275
189,8.64673
190,8.60072
191,8.55471
192,8.50869
193,8.46268
194,8.41666
195,8.37065
196,8.32464
197,8.27862
198,8.23261
199,8.18660
200,8.14058
201,8.15680
202,8.19159
203,8.22639
204,8.26119
205,8.29599
206,8.33079
207,8.36559
208,8.40039
209,8.43519
210,8.46999
211,8.50479
212,8.53959
213,8.57439
214,8.60919
215,8.64399
216,8.67879
217,8.71358
218,8.74838
219,8.78318
220,8.81798
221,8.85278
222,8.88758
223,8.92238
224,8.95718
225,8.99198
226,9.02678
227,9.06158
228,9.09638
229,9.13118
230,9.16598
231,9.20077
232,9.23557
233,9.27037
234,9.30517
235,9.33997
236,9.37477
237,9.40957
238,9.44437
239,9.47917
240,9.51397
241,9.54877
242,9.58357
243,9.61837
244,9.65317
245,9.68797
246,9.72276
247,9.75756
248,9.74516
249,9.72920
250,9.71324
251,9.69727
252,9.68131
253,9.66535
254,9.64939
255,9.63343
256,9.61747
257,9.60151
258,9.58555
259,9.56959
260,9.55363
261,9.53767
262,9.52171
263,9.50575
264,9.48979
265,9.47383
266,9.45787
267,9.44191
268,9.42594
269,9.40998
270,9.39402
271,9.37806
272,9.36210
273,9.34614
274,9.33018
275,9.31422
276,9.29826
277,9.28230
278,9.26634
279,9.25038
280,9.23442
281,9.21846
282,9.20250
283,9.18654
284,9.17058
285,9.15461
286,9.13865
287,9.12269
288,9.10673
289,9.09077
290,9.07481
291,9.05885
292,9.04289
293,9.02693
294,9.01097
295,8.99501
296,8.97905
297,8.96309
298,8.94120
299,8.89229
300,8.84338
301,8.79448
302,8.74557
303,8.69667
304,8.64776
305,8.59885
306,8.54995
307,8.50104
308,8.45214
309,8.40323
310,8.35432
311,8.30542
312,8.25651
313,8.20761
314,8.15870
315,8.10979
316,8.06089
317,8.01198
318,7.96308
319,7.91417
320,7.86526
321,7.81636
322,7.76745
323,7.71855
324,7.66964
325,7.62073
326,7.57183
327,7.52292
328,7.47402
329,7.42511
330,7.37620
331,7.32730
332,7.27839
333,7.22949
334,7.18058
335,7.13167
336,7.08277
337,7.04323
338,7.02273
339,7.00222
340,6.98171
341,6.96121
342,6.94070
343,6.92019
344,6.89969
345,6.87918
346,6.85868
347,6.83817
348,6.81766
349,6.79716
350,6.77665
351,6.75614
352,6.73564
353,6.71513
354,6.69463
355,6.67412
356,6.65361
357,6.63311
358,6.61260
359,6.59209
360,6.57159
361,6.55108
362,6.53057
363,6.51007
364,6.48956
365,6.46906
366,6.44855
367,6.42804
368,6.40754
369,6.38703
370,6.36652
371,6.34602
372,6.32551
373,6.30501
374,6.28450
375,6.26399
376,6.24349
377,6.23785
378,6.23526
379,6.23267
380,6.23008
381,6.22749
382,6.22490
383,6.22231
384,6.21972
385,6.21713
386,6.21454
387,6.21195
388,6.20936
389,6.20677
390,6.20418
391,6.20159
392,6.19900
393,6.19642
394,6.19383
395,6.19124
396,6.18865
397,6.18606
398,6.18347
399,6.18088
400,6.17829
401,6.17570
402,6.17311
403,6.17052
404,6.16793
405,6.16534
406,6.16275
407,6.16016
408,6.15757
409,6.15498
410,6.15239
411,6.14980
412,6.14721
413,6.14462
414,6.14203
415,6.13944
416,6.13685
417,6.13426
418,6.13167
419,6.12908
420,6.12649
421,6.12390
422,6.12131
423,6.11872
424,6.11613
425,6.11354
426,6.11095
427,6.10836
428,6.10578
429,6.10319
430,6.10060
431,6.10398
432,6.10914
433,6.11431
434,6.11947
435,6.12464
436,6.12981
437,6.13497
438,6.14014
439,6.14530
440,6.15047
441,6.15563
442,6.16080
443,6.16597
444,6.17113
445,6.17630
446,6.18146
447,6.18663
448,6.19179
449,6.19696
450,6.20213
451,6.20729
452,6.21246
453,6.21762
454,6.22279
455,6.22795
456,6.23312
457,6.23829
458,6.24345
459,6.24862
460,6.25378
461,6.25895
462,6.26411
463,6.26928
464,6.27445
465,6.27961
466,6.28478
467,6.28994
468,6.29511
469,6.30027
470,6.30544
471,6.31060
472,6.31577
473,6.32094
474,6.32610
475,6.33127
476,6.33643
477,6.34160
478,6.34676
479,6.35193
480,6.35710
481,6.36226
482,6.36743
483,6.37259
484,6.37776
485,6.38292
486,6.38809
487,6.39326
488,6.39842
489,6.40359
490,6.40875
491,6.41392
492,6.41908
493,6.42425
494,6.42942
495,6.43458
496,6.43975
497,6.44491
498,6.45008
499,6.45524
500,6.46041
501,6.46558
502,6.47074
503,6.47591
504,6.48107
505,6.48624
506,6.49140
507,6.49657
508,6.50173
509,6.50690
510,6.53746
511,6.60611
512,6.67475
513,6.74340
514,6.81205
515,6.88070
516,6.94935
517,7.01799
518,7.08664
519,7.15529
520,7.22394
521,7.29258
522,7.36123
523,7.42988
524,7.49853
525,7.56718
526,7.63582
527,7.70447
528,7.77312
529,7.84177
530,7.91041
531,7.97906
532,8.04771
533,8.11636
534,8.18501
535,8.25365
536,8.32230
537,8.39095
538,8.45960
539,8.52824
540,8.59689
541,8.66554
542,8.73419
543,8.80284
544,8.87148
545,8.94013
546,9.00878
547,9.07743
548,9.14607
549,9.21472
550,9.28337
551,9.35202
552,9.42067
553,9.48931
554,9.58623
555,9.68343
556,9.78063
557,9.87783
558,9.97503
559,10.07224
560,10.16944
561,10.26664
562,10.36384
563,10.46104
564,10.55824
565,10.65544
566,10.75264
567,10.84984
568,10.94705
569,11.04425
570,11.14145
571,11.23865
572,11.33585
573,11.43305
574,11.53025
575,11.62745
576,11.72466
577,11.82186
578,11.91906
579,12.01626
580,12.09631
581,12.16232
582,12.22834
583,12.29436
584,12.36037
585,12.42639
586,12.49241
587,12.55842
588,12.62444
589,12.69045
590,12.75647
591,12.82249
592,12.88850
593,12.95452
594,13.02053
595,13.08655
596,13.15257
597,13.21858
598,13.28460
599,13.35061
600,13.41663
601,13.48265
602,13.54866
603,13.61468
604,13.68069
605,13.74671
606,13.81273
607,13.87874
608,13.94476
609,14.01077
610,14.07679
611,14.14281
612,14.20882
613,14.27484
614,14.34086
615,14.39384
616,14.44149
617,14.48915
618,14.53681
619,14.58447
620,14.63213
621,14.67978
622,14.72744
623,14.77510
624,14.82276
625,14.87041
626,14.91807
627,14.96573
628,15.01339
629,15.06105
630,15.10870
631,15.15636
632,15.20402
633,15.25168
634,15.29933
635,15.34699
636,15.39465
637,15.44231
638,15.48996
639,15.53762
640,15.58528
641,15.63294
642,15.68060
643,15.72825
644,15.77591
645,15.82357
646,15.87123
647,15.91888
648,15.96654
649,16.01420
650,16.06186
651,16.10952
652,16.15350
653,16.19646
654,16.23941
655,16.28237
656,16.32532
657,16.36827
658,16.41123
659,16.45418
660,16.49713
661,16.54009
662,16.58304
663,16.62600
664,16.66895
665,16.71190
666,16.75486
667,16.79781
668,16.84077
669,16.88372
670,16.92667
671,16.96963
672,17.01258
673,17.05554
674,17.09849
675,17.14144
676,17.18440
677,17.22735
678,17.27030
679,17.31326
680,17.35621
681,17.39917
682,17.44212
683,17.48507
684,17.52803
685,17.57098
686,17.61394
687,17.65689
688,17.69984
689,17.74280
690,17.78575
691,17.82871
692,17.87166
693,17.91461
694,17.95757
695,18.00052
696,18.04347
697,18.08643
698,18.12938
699,18.13663
700,18.11090
701,18.08518
702,18.05946
703,18.03374
704,18.00802
705,17.98230
706,17.95658
707,17.93086
708,17.90514
709,17.87942
710,17.85370
711,17.82798
712,17.80226
713,17.77654
714,17.75082
715,17.72510
716,17.69938
717,17.67366
718,17.64794
719,17.62222
720,17.59650
721,17.57078
722,17.54506
723,17.51934
724,17.49362
725,17.46789
726,17.44217
727,17.41645
728,17.39073
729,17.36501
730,17.33929
731,17.31357
732,17.28785
733,17.26213
734,17.23641
735,17.21069
736,17.18497
737,17.15925
738,17.13353
739,17.10781
740,17.08209
741,17.05403
742,17.02391
743,16.99378
744,16.96366
745,16.93353
746,16.90341
747,16.87328
748,16.84316
749,16.81303
750,16.78291
751,16.75278
752,16.72266
753,16.69253
754,16.66241
755,16.63228
756,16.60215
757,16.57203
758,16.54190
759,16.51178
760,16.48165
761,16.45153
762,16.42140
763,16.39128
764,16.36115
765,16.33103
766,16.30090
767,16.27078
768,16.24065
769,16.21053
770,16.18040
771,16.15028
772,16.12015
773,16.09003
774,16.05990
775,16.02977
776,15.99965
777,15.96952
778,15.93940
779,15.90927
780,15.87915
781,15.84902
782,15.81890
783,15.78877
784,15.75865
785,15.72852
786,15.69840
787,15.66827
788,15.63815
789,15.60802
790,15.57790
791,15.54777
792,15.51765
793,15.48752
794,15.45739
795,15.42727
796,15.39714
797,15.36702
798,15.33689
799,15.30677
800,15.27664
801,15.24652
802,15.21639
803,15.18627
804,15.16301
805,15.14781
806,15.13262
807,15.11742
808,15.10222
809,15.08702
810,15.07183
811,15.05663
812,15.04143
813,15.02624
814,15.01104
815,14.99584
816,14.98065
817,14.96545
818,14.95025
819,14.93505
820,14.91986
821,14.90466
822,14.88946
823,14.87427
824,14.85907
825,14.84387
826,14.82868
827,14.81348
828,14.79828
829,14.78308
830,14.76789
831,14.75269
832,14.73749
833,14.72230
834,14.70710
835,14.69190
836,14.67671
837,14.66151
838,14.64631
839,14.63111
840,14.61592
841,14.60072
842,14.58552
843,14.57033
844,14.55513
845,14.53993
846,14.52474
847,14.50954
848,14.49434
849,14.47914
850,14.46395
851,14.44875
852,14.43355
853,14.41836
854,14.40316
855,14.38796
856,14.37277
857,14.35629
858,14.33310
859,14.30991
860,14.28673
861,14.26354
862,14.24035
863,14.21716
864,14.19398
865,14.17079
