Frequency (Hz),dB (Relative)
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.10129
52,0.20258
53,0.30387
54,0.40516
55,0.50645
56,0.62657
57,0.76090
58,0.89522
59,1.02955
60,1.10522
61,1.13289
62,1.16055
63,1.18822
64,1.21589
65,1.19347
66,1.11893
67,1.04438
68,0.96984
69,0.89529
70,0.82075
71,0.77515
72,0.72985
73,0.68455
74,0.63924
75,0.59394
76,0.54839
77,0.49482
78,0.44125
79,0.38768
80,0.33411
81,0.28054
82,0.28000
83,0.28000
84,0.28000
85,0.28000
86,0.28000
87,0.23204
88,0.15470
89,0.07735
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.03233
102,0.06466
103,0.09699
104,0.12931
105,0.16164
106,0.19397
107,0.22630
108,0.25863
109,0.29096
110,0.32328
111,0.35561
112,0.38794
113,0.42027
114,0.45260
115,0.48493
116,0.51726
117,0.54958
118,0.58191
119,0.61424
120,0.64657
121,0.67890
122,0.71123
123,0.74355
124,0.77588
125,0.80821
126,0.84054
127,0.87287
128,0.90520
129,0.93752
130,0.96985
131,1.00218
132,1.03451
133,1.06684
134,1.09917
135,1.13150
136,1.16382
137,1.19615
138,1.22848
139,1.26081
140,1.29314
141,1.32547
142,1.35779
143,1.39012
144,1.42245
145,1.45478
146,1.48711
147,1.51944
148,1.55177
149,1.58409
150,1.61642
151,1.61093
152,1.57806
153,1.54518
154,1.51230
155,1.47943
156,1.44655
157,1.41367
158,1.38080
159,1.34792
160,1.31505
161,1.28217
162,1.24929
163,1.21642
164,1.18354
165,1.15067
166,1.11779
167,1.08491
168,1.05204
169,1.01916
170,0.98628
171,0.95341
172,0.92053
173,0.88766
174,0.85478
175,0.82190
176,0.78903
177,0.75615
178,0.72328
179,0.69040
180,0.65752
181,0.62465
182,0.59177
183,0.55889
184,0.52602
185,0.49314
186,0.46027
187,0.42739
188,0.39451
189,0.36164
190,0.32876
191,0.29589
192,0.26301
193,0.23013
194,0.19726
195,0.16438
196,0.13150
197,0.09863
198,0.06575
199,0.03288
200,0.00000
201,0.00000
202,0.00000
203,0.00000
204,0.00000
205,0.00000
206,0.00000
207,0.00000
208,0.00000
209,0.00000
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00000
221,0.00000
222,0.00000
223,0.00000
224,0.00000
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00000
233,0.00000
234,0.00000
235,0.00000
236,0.00000
237,0.00000
238,0.00000
239,0.00000
240,0.00000
241,0.00000
242,0.00000
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00000
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00000
257,0.00000
258,0.00000
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.00000
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00604
352,0.01209
353,0.01813
354,0.02417
355,0.03021
356,0.03626
357,0.04230
358,0.04834
359,0.05438
360,0.06043
361,0.06647
362,0.07251
363,0.07856
364,0.08460
365,0.09064
366,0.09668
367,0.10273
368,0.10877
369,0.11481
370,0.12085
371,0.12690
372,0.13294
373,0.13898
374,0.14503
375,0.15107
376,0.15711
377,0.16315
378,0.16920
379,0.17524
380,0.18128
381,0.18732
382,0.19337
383,0.19941
