Frequency (Hz),dB (Relative)
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.62319
52,1.24638
53,1.86957
54,2.49275
55,3.07870
56,3.48279
57,3.88689
58,4.29099
59,4.69508
60,5.09918
61,5.42400
62,5.72900
63,6.03400
64,6.33900
65,6.57199
66,6.78698
67,7.00197
68,7.21696
69,7.43195
70,7.58092
71,7.70546
72,7.83000
73,7.95454
74,8.07908
75,8.19471
76,8.28624
77,8.37776
78,8.46929
79,8.56081
80,8.65234
81,8.73208
82,8.79176
83,8.85144
84,8.91112
85,8.97080
86,9.03048
87,9.09016
88,9.14562
89,9.19685
90,9.24808
91,9.29932
92,9.35055
93,9.40113
94,9.44952
95,9.49790
96,9.54629
97,9.59468
98,9.64306
99,9.71658
100,9.80363
101,9.89068
102,9.97773
103,10.06478
104,9.93438
105,9.79011
106,9.64584
107,9.50157
108,9.35730
109,9.21303
110,9.06876
111,8.92448
112,8.78021
113,8.63594
114,8.49167
115,8.34740
116,8.20313
117,8.05885
118,8.08901
119,8.16277
120,8.23652
121,8.31028
122,8.38404
123,8.45780
124,8.53156
125,8.60532
126,8.67908
127,8.75284
128,8.82660
129,8.90035
130,8.97411
131,9.04787
132,9.12163
133,9.19539
134,9.26915
135,9.34291
136,9.41667
137,9.49043
138,9.56418
139,9.63794
140,9.71170
141,9.78546
142,9.85922
143,9.93298
144,10.00674
145,10.08050
146,10.15426
147,10.22801
148,10.30177
149,10.37553
150,10.44929
151,10.52305
152,10.59681
153,10.67057
154,10.74433
155,10.81809
156,10.89184
157,10.96560
158,11.03936
159,11.11312
160,11.18688
161,11.26064
162,11.33440
163,11.40816
164,11.48191
165,11.55567
166,11.62943
167,11.70319
168,11.77695
169,11.85071
170,11.92447
171,11.99823
172,12.07199
173,12.14574
174,12.21950
175,12.29326
176,12.36702
177,12.44078
178,12.51454
179,12.58830
180,12.66206
181,12.73582
182,12.80957
183,12.88333
184,12.95709
185,13.03085
186,13.10461
187,13.17837
188,13.25213
189,13.32589
190,13.39965
191,13.47340
192,13.54716
193,13.62092
194,13.69468
195,13.76844
196,13.84220
197,13.91596
198,13.98972
199,14.06348
200,14.13723
201,14.21099
202,14.26778
203,14.25670
204,14.24561
205,14.23452
206,14.22344
207,14.21235
208,14.20127
209,14.19018
210,14.17909
211,14.16801
212,14.15692
213,14.14584
214,14.13475
215,14.12366
216,14.11258
217,14.10149
218,14.09041
219,14.07932
220,14.06823
221,14.05715
222,14.04606
223,14.03498
224,14.02389
225,14.01280
226,14.00172
227,13.99063
228,13.97955
229,13.96846
230,13.95737
231,13.94629
232,13.93520
233,13.92412
234,13.91303
235,13.90194
236,13.89086
237,13.87977
238,13.86869
239,13.85760
240,13.84651
241,13.83543
242,13.82434
243,13.81326
244,13.80217
245,13.79108
246,13.78000
247,13.76891
248,13.75783
249,13.74674
250,13.73565
251,13.70331
252,13.64884
253,13.59436
254,13.53989
255,13.48542
256,13.43095
257,13.37647
258,13.32200
259,13.26753
260,13.21306
261,13.15858
262,13.10411
263,13.04964
264,12.99517
265,12.94070
266,12.88622
267,12.83175
268,12.77728
269,12.72281
270,12.66833
271,12.61386
272,12.55939
273,12.50492
274,12.45044
275,12.39597
276,12.34150
277,12.28703
278,12.23255
279,12.17808
280,12.12361
281,12.06914
282,12.01467
283,11.96019
284,11.90572
285,11.85125
286,11.79678
287,11.74230
288,11.68783
289,11.63336
290,11.57889
291,11.52441
292,11.46994
293,11.41547
294,11.36100
295,11.30652
296,11.25205
297,11.19758
298,11.14311
299,11.08864
300,11.03416
301,11.03006
302,11.04367
303,11.05727
304,11.07087
305,11.08447
306,11.09807
307,11.11167
308,11.12527
309,11.13888
310,11.15248
311,11.16608
312,11.17968
313,11.19328
314,11.20688
315,11.22048
316,11.23408
317,11.24769
318,11.26129
319,11.27489
320,11.28849
321,11.30209
322,11.31569
323,11.32929
324,11.34289
325,11.35650
326,11.37010
327,11.38370
328,11.39730
329,11.41090
330,11.42450
331,11.43810
332,11.45171
333,11.46531
334,11.47891
335,11.49251
336,11.50611
337,11.51971
338,11.53331
339,11.54691
340,11.56052
341,11.57412
342,11.58772
343,11.60132
344,11.61492
345,11.62852
346,11.64212
347,11.65572
348,11.66933
349,11.68293
350,11.65897
351,11.59434
352,11.52970
353,11.46506
354,11.40042
355,11.33578
356,11.27115
357,11.20651
358,11.14187
359,11.07723
360,11.01259
361,10.94796
362,10.88332
363,10.81868
364,10.75404
365,10.68940
366,10.62477
367,10.56013
368,10.49549
369,10.43085
370,10.36621
371,10.30158
372,10.23694
373,10.17230
374,10.10766
375,10.04302
376,9.97839
377,9.91375
378,9.84911
379,9.78447
380,9.71983
381,9.65519
382,9.59056
383,9.52592
