Frequency (Hz),dB (Relative)
20,9.22000
21,10.93485
22,12.64970
23,14.36455
24,16.07941
25,17.79426
26,14.99449
27,11.95710
28,12.10927
29,13.00960
30,13.90993
31,14.17843
32,14.28898
33,14.39952
34,14.51006
35,14.62060
36,14.73115
37,14.84169
38,14.95223
39,15.06277
40,15.17224
41,15.24687
42,15.32149
43,15.39612
44,15.47075
45,15.54537
46,15.62000
47,15.69463
48,16.06977
49,16.59972
50,17.12968
51,17.65963
52,18.22821
53,18.87888
54,19.52955
55,20.18021
56,20.60694
57,20.86472
58,21.12251
59,21.38029
60,21.63808
61,21.89587
62,21.63283
63,21.23135
64,20.82988
65,20.42840
66,20.64032
67,21.07912
68,21.51792
69,21.95672
70,22.36970
71,22.74396
72,23.11822
73,23.49248
74,23.86673
75,24.23895
76,24.60737
77,24.97579
78,25.34421
79,25.71263
80,26.08105
81,26.22644
82,26.11000
83,25.99356
84,25.87712
85,25.76068
86,25.64425
87,25.53995
88,25.44310
89,25.34625
90,25.24939
91,25.12305
92,24.96600
93,24.80896
94,24.65192
95,24.50957
96,24.44439
97,24.37921
98,24.31402
99,24.24884
100,24.18366
101,24.11847
102,24.12890
103,24.15063
104,24.17235
105,24.19408
106,24.21581
107,24.23753
108,24.25926
109,24.28098
110,24.30271
111,24.32444
112,24.34616
113,24.36789
114,24.38962
115,24.41134
116,24.43307
117,24.45479
118,24.47652
119,24.49825
120,24.51997
121,24.54170
122,24.56342
123,24.58515
124,24.60688
125,24.62860
126,24.65033
127,24.67206
128,24.69378
129,24.71551
130,24.73723
131,24.75896
132,24.78069
133,24.80241
134,24.82414
135,24.84586
136,24.86759
137,24.88932
138,24.91104
139,24.93277
140,24.95449
141,24.97622
142,24.99795
143,25.01967
144,25.04140
145,25.06313
146,25.08485
147,25.10658
148,25.12830
149,25.15003
150,25.17176
151,25.19348
152,25.19685
153,25.19234
154,25.18784
155,25.18333
156,25.17883
157,25.17432
158,25.16982
159,25.16532
160,25.16081
161,25.15631
162,25.15180
163,25.14730
164,25.14279
165,25.13829
166,25.13378
167,25.12928
168,25.12477
169,25.12027
170,25.11577
171,25.11126
172,25.10676
173,25.10225
174,25.09775
175,25.09324
176,25.08874
177,25.08423
178,25.07973
179,25.07523
180,25.07072
181,25.06622
182,25.06171
183,25.04925
184,25.03192
185,25.01458
186,24.99724
187,24.97991
188,24.96257
189,24.94524
190,24.92790
191,24.91057
192,24.89323
193,24.87589
194,24.85856
195,24.84122
196,24.82389
197,24.80655
198,24.78922
199,24.77188
200,24.75454
201,24.73721
202,24.71987
203,24.70254
204,24.68520
205,24.66786
206,24.65053
207,24.63319
208,24.61586
209,24.59852
210,24.58119
211,24.56385
212,24.54651
213,24.52918
214,24.51184
215,24.49451
216,24.47717
217,24.45984
218,24.44250
219,24.42516
220,24.40783
221,24.39049
222,24.37316
223,24.35582
224,24.33849
225,24.32115
226,24.30381
227,24.28648
228,24.26914
229,24.25181
230,24.23447
231,24.21714
232,24.19980
233,24.18246
234,24.16513
235,24.14779
236,24.13046
237,24.11312
238,24.09619
239,24.07935
240,24.06252
241,24.04568
242,24.02884
243,24.01200
244,23.99516
245,23.97833
246,23.96149
247,23.94465
248,23.92781
249,23.91097
250,23.89413
251,23.87730
252,23.86046
253,23.84362
254,23.82678
255,23.80994
256,23.79311
257,23.77627
258,23.75943
259,23.74259
260,23.72575
261,23.70891
262,23.69208
263,23.67524
264,23.65840
265,23.64156
266,23.62472
267,23.60789
268,23.59105
269,23.57421
270,23.55737
271,23.54053
272,23.52370
273,23.50686
274,23.49002
275,23.47318
276,23.45634
277,23.43950
278,23.42267
279,23.40583
280,23.38899
281,23.37215
282,23.35531
283,23.33848
284,23.32164
285,23.30480
286,23.28796
287,23.27112
288,23.25428
289,23.23745
290,23.22061
291,23.20377
292,23.18693
293,23.17009
294,23.15326
295,23.13642
296,23.11958
297,23.10274
298,23.08590
299,23.06906
300,23.05223
301,23.03539
302,23.04372
303,23.06390
304,23.08408
305,23.10426
306,23.12444
307,23.14462
308,23.16480
309,23.18498
310,23.20516
311,23.22534
312,23.24552
313,23.26570
314,23.28587
315,23.30605
316,23.32623
317,23.34641
318,23.36659
319,23.38677
320,23.40695
321,23.42713
322,23.44731
323,23.46749
324,23.48767
325,23.50785
326,23.52803
327,23.54821
328,23.56839
329,23.58857
330,23.60874
331,23.62892
332,23.64910
333,23.66928
334,23.68946
335,23.70964
336,23.72982
337,23.75000
338,23.77018
339,23.79036
340,23.81054
341,23.83072
342,23.85090
343,23.87108
344,23.89126
345,23.91143
346,23.93161
347,23.95179
348,23.97197
349,23.99215
350,24.01233
351,24.03251
352,24.05269
353,24.07287
354,24.09305
355,24.11342
356,24.13480
357,24.15617
358,24.17755
359,24.19893
360,24.22030
361,24.24168
362,24.26306
363,24.28443
364,24.30581
365,24.32719
366,24.34856
367,24.36994
368,24.39132
369,24.41269
370,24.43407
371,24.45545
372,24.47682
373,24.49820
374,24.51958
375,24.54096
376,24.56233
377,24.58371
378,24.60509
379,24.62646
380,24.64784
381,24.66922
382,24.69059
383,24.71197
384,24.73335
385,24.75472
386,24.77610
387,24.79748
388,24.81885
389,24.84023
390,24.86161
391,24.88298
392,24.90436
393,24.92574
394,24.94711
395,24.96849
396,24.98987
397,25.01124
398,25.03262
399,25.05400
400,25.07537
401,25.09675
402,25.11813
403,25.13950
404,25.16088
405,25.18226
406,25.20434
407,25.22984
408,25.25534
409,25.28084
410,25.30634
411,25.33184
412,25.35734
413,25.38284
414,25.40834
415,25.43384
416,25.45934
417,25.48484
418,25.51034
419,25.53584
420,25.56134
421,25.58684
422,25.61234
423,25.63784
424,25.66335
425,25.68885
426,25.71435
427,25.73985
428,25.76535
429,25.79085
430,25.81635
431,25.84185
432,25.86735
433,25.89285
434,25.91835
435,25.94385
436,25.96935
437,25.99485
438,26.02035
439,26.04585
440,26.07135
441,26.09685
442,26.12236
443,26.14786
444,26.17336
445,26.19886
446,26.22436
447,26.24986
448,26.27536
449,26.30086
450,26.32636
451,26.35186
452,26.37736
453,26.40286
454,26.42836
455,26.45386
456,26.47936
457,26.50486
458,26.53036
459,26.53740
460,26.48263
461,26.42785
462,26.37308
463,26.31830
464,26.26353
465,26.20875
466,26.15398
467,26.09920
468,26.04443
469,25.98965
470,25.93488
471,25.88010
472,25.82533
473,25.77055
474,25.71578
475,25.66100
476,25.60623
477,25.55145
478,25.49668
479,25.44190
480,25.38713
481,25.33235
482,25.27758
483,25.22280
484,25.16803
485,25.11325
486,25.05848
487,25.00370
488,24.94893
489,24.89415
490,24.83938
491,24.78460
492,24.72983
493,24.67505
494,24.62028
495,24.56550
496,24.51073
497,24.45595
498,24.40118
499,24.34640
500,24.29163
501,24.24644
502,24.23160
503,24.21676
504,24.20193
505,24.18709
506,24.17225
507,24.15741
508,24.14258
509,24.12774
510,24.11290
511,24.09806
512,24.08323
513,24.06839
514,24.05355
515,24.03871
516,24.02388
517,24.00904
518,23.99420
519,23.97937
