Frequency (Hz),dB (Relative)
20,4.88000
21,5.73065
22,6.58130
23,7.43195
24,8.28260
25,6.52714
26,0.82080
27,0.83672
28,0.85265
29,0.86858
30,0.88451
31,0.90043
32,0.91636
33,0.93229
34,0.94821
35,0.96548
36,0.98655
37,1.00762
38,1.02869
39,1.04976
40,1.07083
41,1.09728
42,1.17815
43,1.25901
44,1.33988
45,1.42075
46,1.49818
47,1.40707
48,1.31596
49,1.22484
50,1.13373
51,1.12039
52,1.17883
53,1.23727
54,1.29571
55,1.35416
56,1.46340
57,1.57830
58,1.69319
59,1.80809
60,1.88026
61,1.78154
62,1.68282
63,1.58410
64,1.48537
65,1.38665
66,1.29397
67,1.20352
68,1.11307
69,1.02261
70,0.93216
71,0.84171
72,0.77662
73,0.71953
74,0.66245
75,0.60537
76,0.54823
77,0.48915
78,0.43007
79,0.37098
80,0.31190
81,0.25112
82,0.18834
83,0.12556
84,0.06278
85,0.00000
86,-0.17005
87,-0.34010
88,-0.51015
89,-0.67381
90,-0.73738
91,-0.80095
92,-0.86451
93,-0.92808
94,-0.99164
95,-1.05521
96,-1.18812
97,-1.36536
98,-1.54260
99,-1.71985
100,-1.88547
101,-1.77210
102,-1.65874
103,-1.54538
104,-1.43202
105,-1.31866
106,-1.20529
107,-1.09193
108,-0.97857
109,-0.86521
110,-0.75185
111,-0.63848
112,-0.52512
113,-0.41176
114,-0.29840
115,-0.18504
116,-0.07168
117,0.04169
118,0.15505
119,0.26841
120,0.38177
121,0.49513
122,0.60850
123,0.72186
124,0.83522
125,0.94858
126,1.06194
127,1.17531
128,1.28867
129,1.40203
130,1.51539
131,1.62875
132,1.74212
133,1.85548
134,1.96884
135,2.08220
136,2.19556
137,2.30892
138,2.42229
139,2.53565
140,2.64901
141,2.76237
142,2.87573
143,2.98910
144,3.10246
145,3.21582
146,3.32918
147,3.44254
148,3.55591
149,3.66927
150,3.78263
151,3.89599
152,3.96691
153,4.01964
154,4.07237
155,4.12510
156,4.17782
157,4.23055
158,4.28328
159,4.33601
160,4.38874
161,4.44147
162,4.49419
163,4.54692
164,4.59965
165,4.65238
166,4.70511
167,4.75784
168,4.81056
169,4.86329
170,4.91602
171,4.96875
172,5.02148
173,5.07421
174,5.12693
175,5.17966
176,5.23239
177,5.28512
178,5.33785
179,5.39058
180,5.44330
181,5.49603
182,5.54876
183,5.60149
184,5.65422
185,5.70695
186,5.75968
187,5.81240
