Frequency (Hz),dB (Relative)
20,4.88000
21,5.90597
22,6.93195
23,7.95792
24,8.98390
25,9.17939
26,8.01988
27,8.29006
28,9.03682
29,9.78357
30,10.37661
31,10.89393
32,11.41125
33,11.92858
34,12.44590
35,12.96323
36,13.48055
37,13.99787
38,14.47306
39,14.84994
40,15.22681
41,15.60368
42,15.98056
43,16.37468
44,16.77894
45,17.18319
46,17.58745
47,17.99170
48,18.32059
49,18.64380
50,18.96701
51,19.29022
52,19.65378
53,20.10308
54,20.55238
55,21.00168
56,21.45098
57,21.90028
58,22.32993
59,22.74649
60,23.16304
61,23.57960
62,23.99615
63,24.41271
64,24.82927
65,25.25649
66,25.77005
67,26.28362
68,26.79718
69,27.31074
70,27.82430
71,28.04000
72,28.04000
73,28.04000
74,28.04000
75,28.04000
76,27.95727
77,27.86636
78,27.77545
79,27.68455
80,27.55526
81,27.36841
82,27.18156
83,26.99471
84,26.80785
85,26.62100
86,26.30382
87,25.90676
88,25.50971
89,25.11265
90,25.09260
91,25.39372
92,25.69483
93,25.99595
94,26.29706
95,26.57512
96,26.73209
97,26.88907
98,27.04605
99,27.20302
100,27.36000
101,27.51698
102,27.49285
103,27.00302
104,26.51320
105,26.02337
106,25.53354
107,25.04372
108,24.55389
109,24.06406
110,23.57424
111,23.08441
112,22.59458
113,22.10476
114,21.61493
115,21.13126
116,21.25752
117,21.38378
118,21.51003
119,21.63629
120,21.76254
121,21.88880
122,22.01506
123,22.14131
124,22.26757
125,22.39383
126,22.52008
127,22.64634
128,22.77260
129,22.89885
130,23.02511
131,23.15137
132,23.27762
133,23.40388
134,23.53013
135,23.65639
136,23.78265
137,23.90890
138,24.03516
139,24.16142
140,24.28767
141,24.41393
142,24.54019
143,24.66644
144,24.79270
145,24.91896
146,25.04521
147,25.17147
148,25.29772
149,25.42398
150,25.55024
151,25.67649
152,25.80275
153,25.92901
154,26.05526
155,26.18152
156,26.27050
157,26.22734
158,26.18417
159,26.14100
160,26.09784
161,26.05467
162,26.01150
163,25.96834
164,25.92517
165,25.88200
166,25.83884
167,25.79567
168,25.75250
169,25.70934
170,25.66617
171,25.62300
172,25.57984
173,25.53667
174,25.49350
175,25.45034
176,25.40717
177,25.36400
178,25.32084
179,25.27767
180,25.23450
181,25.19134
182,25.14817
183,25.10500
184,25.06184
185,25.01867
186,24.97550
187,24.93234
188,24.88917
189,24.84601
190,24.80284
191,24.75967
192,24.71651
193,24.67334
194,24.63017
195,24.58701
196,24.54384
197,24.50067
198,24.45751
199,24.41434
200,24.37117
201,24.32801
202,24.28484
203,24.24167
204,24.19851
205,24.15534
206,24.11217
207,24.06901
208,24.02584
209,23.98267
210,23.93951
211,23.89634
212,23.85317
213,23.81001
214,23.76684
215,23.72367
216,23.68051
217,23.63734
218,23.59417
219,23.56380
220,23.54971
221,23.53563
222,23.52154
223,23.50745
224,23.49337
225,23.47928
226,23.46519
227,23.45111
228,23.43702
229,23.42293
230,23.40885
231,23.39476
232,23.38067
233,23.36658
234,23.35250
235,23.33841
236,23.32432
237,23.31024
238,23.29615
239,23.28206
240,23.26798
241,23.25389
