Frequency (Hz),dB (Relative)
20,-0.53000
21,-0.73374
22,-0.93748
23,-1.14121
24,-1.34495
25,-1.54869
26,-1.39313
27,-1.04409
28,-0.69505
29,-0.34602
30,0.00302
31,0.01000
32,0.01000
33,0.01000
34,0.01000
35,0.01000
36,0.01000
37,0.01000
38,0.01000
39,0.01000
40,0.01000
41,0.01000
42,0.01000
43,0.01000
44,0.01000
45,0.01000
46,0.00880
47,-0.05120
48,-0.11120
49,-0.17120
50,-0.23120
51,-0.26000
52,-0.26000
53,-0.26000
54,-0.26000
55,-0.26000
56,-0.26000
57,-0.22421
58,-0.18530
59,-0.14640
60,-0.10749
61,-0.06859
62,-0.02968
63,0.00922
64,0.01000
65,0.01000
66,0.01000
67,0.01000
68,0.01000
69,0.01000
70,0.01000
71,0.01000
72,0.01000
73,0.01000
74,0.01000
75,0.01000
76,0.01000
77,0.01000
78,0.01000
79,0.01621
80,0.03561
81,0.05501
82,0.07442
83,0.09382
84,0.11322
85,0.13263
86,-0.04539
87,-0.34441
88,-0.64343
89,-0.94245
90,-1.11328
91,-1.17492
92,-1.23655
93,-1.29818
94,-1.35982
95,-1.42145
96,-1.48234
97,-1.52913
98,-1.57593
99,-1.62272
100,-1.66951
101,-1.71631
102,-1.80559
103,-2.00413
104,-2.20268
105,-2.40122
106,-2.59976
107,-2.79831
108,-3.02788
109,-3.26569
110,-3.50351
111,-3.74133
112,-3.97914
113,-4.23492
114,-4.49995
115,-4.76498
116,-5.03001
117,-5.29504
118,-5.56007
119,-5.82510
120,-6.09013
121,-6.15864
122,-6.03834
123,-5.91803
124,-5.79773
125,-5.67742
126,-5.55712
127,-5.43681
128,-5.31651
129,-5.19620
130,-5.07589
131,-4.95559
132,-4.83528
133,-4.71498
134,-4.59467
135,-4.47437
136,-4.35406
137,-4.27578
138,-4.20799
139,-4.14021
140,-4.07243
141,-4.00465
142,-3.93687
143,-3.86909
144,-3.80131
145,-3.73353
146,-3.66575
147,-3.59797
148,-3.53019
149,-3.46241
150,-3.39463
151,-3.32685
152,-3.25906
153,-3.19128
154,-3.12350
155,-3.05572
156,-2.98794
157,-2.92016
158,-2.85238
159,-2.78460
160,-2.71682
161,-2.64904
162,-2.58126
163,-2.51348
164,-2.44570
165,-2.37792
166,-2.31013
167,-2.24235
168,-2.17457
169,-2.10679
170,-2.03901
171,-1.97123
172,-1.90345
173,-1.83567
174,-1.76789
175,-1.70011
176,-1.63233
177,-1.56455
178,-1.49677
179,-1.42898
180,-1.36120
181,-1.29342
182,-1.22564
183,-1.15786
184,-1.09008
185,-1.02230
186,-0.95452
187,-0.88674
188,-0.81896
189,-0.75118
190,-0.68340
191,-0.61562
192,-0.54784
193,-0.48005
194,-0.41227
195,-0.34449
196,-0.27671
197,-0.20893
198,-0.14115
199,-0.07337
200,-0.00559
201,0.06182
202,0.12912
203,0.19643
204,0.26373
205,0.33103
206,0.39833
207,0.46563
208,0.53293
209,0.60024
210,0.66754
211,0.73484
212,0.80214
213,0.86944
214,0.93674
215,1.00405
216,1.07135
217,1.13865
218,1.20595
219,1.27325
220,1.34055
221,1.40786
222,1.47516
223,1.54246
224,1.60976
225,1.67706
226,1.74437
227,1.81167
228,1.87897
229,1.94627
230,2.01357
231,2.08087
232,2.14818
233,2.21548
234,2.28278
235,2.35008
236,2.41738
237,2.48468
238,2.55199
239,2.61929
240,2.68659
241,2.75389
242,2.82119
243,2.88849
244,2.95580
245,3.02310
246,3.09040
247,3.15770
248,3.22500
249,3.28783
250,3.34582
251,3.40381
252,3.46180
253,3.51979
254,3.57778
255,3.63577
256,3.69375
257,3.75174
258,3.80973
259,3.86772
260,3.92571
261,3.98370
262,4.04168
263,4.09967
264,4.15766
265,4.21565
266,4.27364
267,4.33163
268,4.38962
269,4.44760
270,4.50559
271,4.56358
272,4.62157
273,4.67956
274,4.73755
275,4.79554
276,4.85352
277,4.91151
278,4.96950
279,5.02749
280,5.08548
281,5.14347
282,5.20145
283,5.25944
284,5.31743
285,5.37542
286,5.43341
287,5.49140
288,5.54939
289,5.60737
290,5.66536
291,5.72335
292,5.78134
293,5.83933
294,5.89732
295,5.95530
296,6.01329
297,6.07128
298,6.12927
299,6.18726
300,6.24525
301,6.30324
302,6.36122
303,6.41921
304,6.47720
305,6.53519
306,6.59318
307,6.65117
308,6.70915
309,6.76714
310,6.82513
311,6.88312
312,6.94111
313,6.99910
314,7.05709
315,7.11507
316,7.17306
317,7.23105
318,7.28904
319,7.34703
320,7.40502
321,7.46301
322,7.52099
323,7.57898
324,7.64794
325,7.71948
326,7.79102
327,7.86255
328,7.93409
329,8.00563
330,8.07716
331,8.14870
332,8.22024
333,8.29177
334,8.36331
335,8.43485
336,8.50638
337,8.57792
338,8.64945
339,8.72099
340,8.79253
341,8.86406
342,8.93560
343,9.00714
344,9.07867
345,9.15021
346,9.22175
347,9.29328
348,9.36482
349,9.43636
350,9.50789
351,9.57943
352,9.65096
353,9.72250
354,9.79404
355,9.86557
356,9.93711
357,10.00865
358,10.08018
359,10.15172
360,10.22326
361,10.29479
362,10.36633
363,10.43787
364,10.50940
365,10.58094
366,10.65247
367,10.72401
368,10.79555
369,10.86708
370,10.93862
371,11.01016
372,11.08169
373,11.15323
374,11.22477
375,11.29630
376,11.36784
377,11.44986
378,11.53404
379,11.61821
380,11.70239
381,11.78656
382,11.87073
383,11.95491
384,12.03908
385,12.12325
386,12.20743
387,12.29160
388,12.37578
389,12.45995
390,12.54412
391,12.62830
392,12.71247
393,12.79664
394,12.88082
395,12.96499
396,13.04917
397,13.13334
398,13.21751
399,13.30169
400,13.38586
401,13.47003
402,13.55421
403,13.63838
404,13.72256
405,13.80673
406,13.89090
407,13.97508
408,14.05925
409,14.14343
410,14.22760
411,14.31177
412,14.39595
413,14.48012
414,14.56429
415,14.64847
416,14.73264
417,14.81682
418,14.90099
419,14.98516
420,15.06934
421,15.15351
422,15.23768
423,15.32186
424,15.40603
425,15.49021
426,15.57438
427,15.65855
428,15.73994
429,15.81381
430,15.88767
431,15.96154
432,16.03541
433,16.10927
434,16.18314
435,16.25700
436,16.33087
437,16.40473
438,16.47860
439,16.55247
440,16.62633
441,16.70020
442,16.77406
443,16.84793
444,16.92179
445,16.99566
446,17.06952
447,17.14339
448,17.21726
449,17.29112
450,17.36499
451,17.43885
452,17.51272
453,17.58658
454,17.66045
455,17.73431
456,17.80818
457,17.88205
458,17.95591
459,18.02978
460,18.10364
461,18.17751
462,18.25137
463,18.32524
464,18.39910
465,18.47297
466,18.54684
467,18.62070
468,18.69457
469,18.76843
470,18.84230
471,18.91616
472,18.99003
473,19.06389
474,19.13776
475,19.21163
476,19.28549
477,19.35936
478,19.43322
479,19.50709
480,19.58095
481,19.65482
482,19.72868
483,19.80255
484,19.87642
485,19.95028
486,20.02415
487,20.09222
488,20.15718
489,20.22213
490,20.28709
491,20.35205
492,20.41700
493,20.48196
494,20.54692
495,20.61187
496,20.67683
497,20.74179
498,20.80674
499,20.87170
500,20.93666
501,21.00161
502,21.06657
503,21.13153
504,21.19648
505,21.26144
506,21.32640
507,21.39135
508,21.45631
509,21.52126
510,21.58622
511,21.65118
512,21.71613
513,21.78109
514,21.84605
515,21.91100
516,21.97596
517,22.04092
518,22.10587
519,22.17083
520,22.23579
521,22.30074
522,22.36570
523,22.43066
524,22.49561
525,22.56057
526,22.62553
527,22.69048
528,22.75544
529,22.82039
530,22.88535
531,22.95031
532,23.01526
533,23.08022
534,23.14518
535,23.21013
536,23.27509
537,23.34005
538,23.40500
539,23.46996
540,23.53492
541,23.59987
542,23.66483
543,23.72979
544,23.79474
545,23.85970
546,23.92465
547,23.98961
548,24.05457
549,24.11952
550,24.18448
551,24.24944
552,24.31439
553,24.37935
554,24.35383
555,24.32739
556,24.30096
557,24.27452
558,24.24808
559,24.22165
560,24.19521
561,24.16878
562,24.14234
563,24.11590
564,24.08947
565,24.06303
566,24.03660
567,24.01016
568,23.98372
569,23.95729
570,23.93085
571,23.90442
572,23.87798
573,23.85154
574,23.82511
575,23.79867
576,23.77224
577,23.74580
578,23.71936
579,23.69293
580,23.66649
581,23.64006
582,23.61362
583,23.58718
584,23.56075
585,23.53431
586,23.50788
587,23.48144
588,23.45500
589,23.42857
590,23.40213
591,23.37570
592,23.34926
593,23.32282
594,23.29639
595,23.26995
596,23.24352
597,23.21708
598,23.19064
599,23.16421
600,23.13777
601,23.11133
602,23.08490
603,23.05846
604,23.03203
605,23.00559
606,22.97915
607,22.95272
608,22.92628
609,22.89985
610,22.87341
611,22.84697
612,22.82054
613,22.79410
614,22.76767
615,22.76857
616,22.78064
617,22.79271
618,22.80478
619,22.81685
620,22.82892
621,22.84099
622,22.85306
623,22.86513
624,22.87720
625,22.88927
626,22.90134
627,22.91341
628,22.92548
629,22.93755
630,22.94962
631,22.96169
632,22.97376
633,22.98583
634,22.99790
635,23.00997
636,23.02204
637,23.03411
638,23.04618
639,23.05825
640,23.07032
641,23.08239
642,23.09446
643,23.10653
644,23.11860
645,23.13067
646,23.14274
647,23.15481
648,23.17201
649,23.19308
650,23.21415
651,23.23522
652,23.25628
653,23.27735
654,23.29842
655,23.31949
656,23.34056
657,23.36163
658,23.38270
659,23.40377
660,23.42484
661,23.44590
662,23.46697
663,23.48804
664,23.50911
665,23.53018
666,23.55125
667,23.57232
668,23.59339
669,23.61446
670,23.63552
671,23.65659
672,23.67766
673,23.69873
674,23.71980
675,23.74087
676,23.76194
677,23.78301
678,23.80408
679,23.82514
680,23.84621
681,23.86728
682,23.88835
683,23.90942
684,23.93049
685,23.95156
686,23.97263
687,24.00142
688,24.03436
689,24.06731
690,24.10025
691,24.13320
692,24.16615
693,24.19909
694,24.23204
695,24.26499
696,24.29793
697,24.33088
698,24.36382
699,24.39677
700,24.42972
701,24.46266
702,24.49561
703,24.52856
704,24.56150
705,24.59445
706,24.62739
707,24.66034
708,24.69329
709,24.72623
710,24.75918
711,24.79213
712,24.82507
713,24.85802
714,24.89096
715,24.92391
716,24.95686
717,24.98980
718,25.02275
719,25.05570
720,25.08864
721,25.12159
722,25.15453
723,25.18748
724,25.21287
725,25.23362
726,25.25437
727,25.27513
728,25.29588
729,25.31663
730,25.33739
731,25.35814
732,25.37889
733,25.39965
734,25.42040
735,25.44115
736,25.46191
737,25.48266
738,25.50341
739,25.52417
740,25.54492
741,25.56567
742,25.58643
743,25.60718
744,25.62793
745,25.64869
746,25.66944
747,25.69019
748,25.71095
749,25.73170
750,25.75245
751,25.77321
752,25.79396
753,25.81471
754,25.83547
755,25.85622
756,25.87697
757,25.89772
758,25.91848
759,25.93923
760,25.95998
761,25.98074
762,26.00149
763,26.00563
764,25.99822
765,25.99081
766,25.98341
767,25.97600
768,25.96859
769,25.96119
770,25.95378
771,25.94637
772,25.93896
773,25.93156
774,25.92415
775,25.91674
776,25.90933
777,25.90193
778,25.89452
779,25.88711
780,25.87970
781,25.87230
782,25.86489
783,25.85748
784,25.85007
785,25.84267
786,25.83526
787,25.82785
788,25.82044
789,25.81304
790,25.80563
791,25.79822
792,25.79081
793,25.78341
794,25.77600
795,25.76859
796,25.76119
797,25.75378
798,25.74637
799,25.73940
800,25.73511
801,25.73083
802,25.72654
803,25.72226
804,25.71797
805,25.71369
806,25.70940
807,25.70511
808,25.70083
809,25.69654
810,25.69226
811,25.68797
812,25.68369
813,25.67940
814,25.67511
815,25.67083
816,25.66654
817,25.66226
818,25.65797
819,25.65369
820,25.64940
821,25.64511
822,25.64083
823,25.63654
824,25.63226
825,25.62797
826,25.62369
827,25.61940
828,25.61511
829,25.61083
830,25.60654
831,25.60226
832,25.59797
833,25.59369
834,25.58940
835,25.58511
836,25.58083
837,25.57654
838,25.57226
839,25.56797
840,25.56369
841,25.55940
842,25.55511
843,25.55083
844,25.54654
845,25.54226
846,25.53797
847,25.53369
848,25.52940
849,25.52511
850,25.52083
851,25.51654
852,25.51226
853,25.50797
854,25.50369
855,25.49940
856,25.49511
857,25.49083
858,25.48654
859,25.48226
860,25.47797
861,25.47369
862,25.47210
863,25.48713
864,25.50217
865,25.51720
866,25.53223
867,25.54726
868,25.56229
869,25.57732
870,25.59235
871,25.60738
872,25.62241
873,25.63744
874,25.65247
875,25.66750
876,25.68253
877,25.69756
878,25.71259
879,25.72762
880,25.74265
881,25.75768
882,25.77271
883,25.78774
884,25.80277
885,25.81780
886,25.83283
887,25.84786
888,25.86289
889,25.87792
890,25.89295
891,25.90799
892,25.92302
893,25.93805
894,25.95308
895,25.96811
896,25.98314
897,25.99817
898,26.01320
899,26.02823
900,26.04326
901,26.05829
902,26.07332
903,26.08835
904,26.10338
905,26.11841
906,26.13344
907,26.14847
908,26.16350
909,26.17853
910,26.19356
911,26.20859
912,26.22362
913,26.23865
914,26.25368
915,26.26871
916,26.28374
917,26.29878
918,26.31381
919,26.32884
920,26.34387
921,26.35890
922,26.37393
923,26.38896
924,26.40399
925,26.42468
926,26.44915
927,26.47362
928,26.49809
929,26.52256
930,26.54703
931,26.57150
932,26.59597
933,26.62044
934,26.64490
935,26.66937
936,26.69384
937,26.71831
938,26.74278
939,26.76725
940,26.79172
941,26.81619
942,26.84066
943,26.86513
944,26.88960
945,26.91407
946,26.93854
947,26.96300
948,26.98747
949,27.01194
950,27.03641
951,27.06088
952,27.08535
953,27.10982
954,27.13429
955,27.15876
956,27.18323
957,27.20770
958,27.23217
959,27.25664
960,27.28110
961,27.30557
962,27.33004
963,27.35451
964,27.37898
965,27.40345
966,27.42792
967,27.45239
968,27.47686
969,27.50133
970,27.52580
971,27.55027
972,27.57474
973,27.59920
974,27.62367
975,27.64814
976,27.67261
977,27.69708
978,27.72155
979,27.74602
980,27.77025
981,27.78272
982,27.79519
983,27.80765
984,27.82012
985,27.83259
986,27.84506
987,27.85753
988,27.87000
989,27.88246
990,27.89493
991,27.90740
992,27.91987
993,27.93234
994,27.94481
995,27.95728
996,27.96974
997,27.98221
998,27.99468
999,28.00715
1000,28.01962
1001,28.03209
1002,28.04455
1003,28.05702
1004,28.06949
1005,28.08196
1006,28.09443
1007,28.10690
1008,28.11936
1009,28.13183
1010,28.14430
1011,28.15677
1012,28.16924
1013,28.18171
1014,28.19417
1015,28.20664
1016,28.21911
1017,28.23158
1018,28.24405
1019,28.25652
1020,28.26899
1021,28.28145
1022,28.29392
1023,28.30639
1024,28.31886
1025,28.33133
1026,28.34380
1027,28.35626
1028,28.36873
1029,28.38120
1030,28.39367
1031,28.40614
1032,28.41861
1033,28.43107
1034,28.44354
1035,28.45601
1036,28.46848
1037,28.48095
1038,28.49342
1039,28.50588
1040,28.51835
1041,28.53082
1042,28.54329
1043,28.55576
1044,28.56823
1045,28.58070
1046,28.59316
1047,28.60563
1048,28.61810
1049,28.63057
1050,28.64304
1051,28.65551
1052,28.66797
1053,28.68044
1054,28.69291
1055,28.70538
1056,28.71785
1057,28.73032
1058,28.74278
1059,28.75525
1060,28.76772
1061,28.78019
1062,28.79266
1063,28.80513
1064,28.81759
1065,28.83006
1066,28.84253
1067,28.85500
1068,28.86747
1069,28.87994
1070,28.89241
1071,28.90487
1072,28.91734
1073,28.92981
1074,28.94228
1075,28.95475
1076,28.96722
1077,28.97968
1078,28.99215
1079,29.00462
1080,29.01709
1081,29.02956
1082,29.04203
1083,29.05449
1084,29.06696
1085,29.07943
1086,29.09190
1087,29.10437
1088,29.11684
1089,29.12930
1090,29.14177
1091,29.15424
1092,29.16671
1093,29.17918
1094,29.19165
1095,29.20412
1096,29.21658
1097,29.22905
1098,29.24152
1099,29.25399
1100,29.26646
1101,29.27893
1102,29.29139
1103,29.30386
1104,29.31633
1105,29.32880
1106,29.34127
1107,29.35374
1108,29.36620
1109,29.37867
1110,29.39114
1111,29.40361
1112,29.41608
1113,29.42855
1114,29.44101
1115,29.45348
1116,29.46595
1117,29.47842
1118,29.49089
1119,29.50336
1120,29.51583
1121,29.52829
1122,29.54076
1123,29.55323
1124,29.56570
1125,29.57817
1126,29.59064
1127,29.60310
1128,29.61557
1129,29.62804
1130,29.64051
1131,29.65298
1132,29.66545
1133,29.67791
1134,29.69038
1135,29.70285
1136,29.71532
1137,29.72779
1138,29.74026
1139,29.75272
1140,29.76519
1141,29.77766
1142,29.79013
1143,29.80260
1144,29.81507
1145,29.82754
1146,29.84000
1147,29.85247
1148,29.86494
1149,29.87741
1150,29.88988
1151,29.90235
1152,29.91481
1153,29.92728
1154,29.93975
1155,29.95997
1156,29.98035
1157,30.00073
1158,30.02111
1159,30.04149
1160,30.06187
1161,30.08225
