Frequency (Hz),dB (Relative)
20,-10.00000
21,-10.00000
22,-10.00000
23,-10.00000
24,-10.00000
25,-10.00000
26,-10.00000
27,-10.00000
28,-10.00000
29,-10.00000
30,-10.00000
31,-9.22666
32,-8.24774
33,-7.26883
34,-6.28991
35,-5.31099
36,-4.33208
37,-3.31856
38,-2.10893
39,-0.89931
40,0.21973
41,1.05193
42,1.88413
43,2.71633
44,3.54853
45,4.12503
46,4.64917
47,5.17331
48,5.69745
49,6.22159
50,6.74572
51,7.26986
52,7.87420
53,8.53662
54,9.19904
55,9.86146
56,10.52389
57,10.99596
58,11.43960
59,11.88324
60,12.32687
61,12.77051
62,13.21886
63,13.67523
64,14.13161
65,14.58799
66,15.04436
67,15.51965
68,15.99704
69,16.47442
70,16.95181
71,17.30609
72,17.64967
73,17.99325
74,18.33684
75,18.68042
76,18.97390
77,19.18904
78,19.40418
79,19.61932
80,19.83446
81,20.07375
82,20.35416
83,20.63458
84,20.91499
85,21.19540
86,21.21994
87,21.00829
88,20.79664
89,20.58499
90,20.37334
91,20.26503
92,20.33270
93,20.40036
94,20.46802
95,20.53568
96,20.60334
97,20.67100
98,20.73867
99,20.80633
100,20.87399
101,20.74915
102,20.21525
103,19.68136
104,19.14746
105,18.61356
106,18.07966
107,17.54576
108,17.01186
109,16.47797
110,15.94407
111,15.41017
112,14.87627
113,14.34237
114,13.80847
115,13.27458
116,12.74068
117,12.20678
118,12.38754
119,12.74697
120,13.10640
121,13.46583
122,13.82526
123,14.18469
124,14.54412
125,14.90355
126,15.26298
127,15.62241
128,15.98184
129,16.34127
130,16.70070
131,17.06013
132,17.41956
133,17.77899
134,18.13842
135,18.49785
136,18.85728
137,19.21671
138,19.57614
139,19.93556
140,20.29499
141,20.65442
142,21.01385
143,21.37328
144,21.73271
145,22.09214
146,22.45157
147,22.81100
148,23.17043
149,23.52986
150,23.88929
151,24.24872
152,24.52529
153,24.69641
154,24.86753
155,25.03865
156,25.20977
157,25.38089
158,25.55201
159,25.72313
160,25.89425
161,26.06537
162,26.23649
163,26.40761
164,26.57873
165,26.74985
166,26.92097
167,27.09209
168,27.26321
169,27.43433
170,27.60545
171,27.77657
172,27.94769
173,28.11881
174,28.28993
175,28.46105
176,28.63217
177,28.80329
178,28.97441
179,29.14553
180,29.31665
181,29.48777
182,29.65889
183,29.83001
184,30.00113
185,30.10996
186,29.80193
187,29.49390
188,29.18587
189,28.87784
190,28.56982
191,28.26179
192,27.95376
193,27.64573
194,27.33771
195,27.02968
196,26.72165
197,26.41362
198,26.10559
199,25.79757
200,25.48954
201,25.18151
202,24.87348
203,24.56545
204,24.25743
205,23.94940
206,23.64137
207,23.33334
208,23.08959
209,23.08766
210,23.08573
211,23.08380
212,23.08186
213,23.07993
214,23.07800
215,23.07607
216,23.07413
217,23.07220
218,23.07027
