Frequency (Hz),dB (Relative)
20,0.00000
21,1.09405
22,0.48555
23,-0.12295
24,-0.73145
25,-1.16533
26,-1.01460
27,-0.86386
28,-0.71313
29,-0.56239
30,-0.41165
31,-0.31733
32,-0.23800
33,-0.15866
34,-0.07933
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,-0.11556
57,-0.23111
58,-0.34667
59,-0.46222
60,-0.56035
61,-0.64106
62,-0.72177
63,-0.80248
64,-0.88319
65,-0.93000
66,-0.93000
67,-0.93000
68,-0.93000
69,-0.93000
70,-0.93000
71,-0.93000
72,-0.93000
73,-0.93000
74,-0.93000
75,-0.93000
76,-0.97491
77,-1.02902
78,-1.08313
79,-1.13723
80,-1.19134
81,-1.23583
82,-1.27848
83,-1.32114
84,-1.36379
85,-1.40645
86,-1.44910
87,-1.50326
88,-1.56848
89,-1.63370
90,-1.69891
91,-1.75988
92,-1.81361
93,-1.86734
94,-1.92107
95,-1.97481
96,-2.02854
97,-2.08227
98,-2.13600
99,-2.18973
100,-2.24346
101,-2.30526
102,-2.38419
103,-2.46311
104,-2.54204
105,-2.62097
106,-2.69990
107,-2.77883
108,-2.85776
109,-2.93668
110,-3.01561
111,-3.09454
112,-3.17347
113,-3.25240
114,-3.33133
115,-3.33834
116,-3.27626
117,-3.21417
118,-3.15209
119,-3.09001
120,-3.02793
121,-2.96584
122,-2.90376
123,-2.84168
124,-2.77960
125,-2.71751
126,-2.65543
127,-2.59335
128,-2.53127
129,-2.46919
130,-2.40710
131,-2.34502
132,-2.28294
133,-2.22086
134,-2.15877
135,-2.09669
136,-2.03461
137,-1.97253
138,-1.91044
139,-1.84836
140,-1.78628
141,-1.72420
142,-1.66212
143,-1.60003
144,-1.53795
145,-1.47587
146,-1.41379
147,-1.35170
148,-1.28962
149,-1.22754
150,-1.16546
151,-1.10337
152,-1.04129
153,-0.97921
154,-0.91713
155,-0.85505
156,-0.79296
157,-0.73088
158,-0.66880
159,-0.60672
160,-0.54463
161,-0.48255
162,-0.42047
163,-0.35839
164,-0.29630
165,-0.23422
166,-0.17214
167,-0.11006
168,-0.04798
169,0.01411
170,0.07619
171,0.13827
172,0.13371
173,0.09327
174,0.05282
175,0.01237
176,-0.02807
177,-0.06852
178,-0.10896
179,-0.14941
180,-0.18985
181,-0.23030
182,-0.27074
183,-0.31119
184,-0.35163
185,-0.39208
186,-0.43252
187,-0.47297
188,-0.51341
189,-0.55386
190,-0.59430
191,-0.63475
192,-0.67519
193,-0.71564
194,-0.75609
195,-0.79653
196,-0.83698
197,-0.87742
198,-0.91787
199,-0.89498
200,-0.84496
201,-0.79494
202,-0.74492
203,-0.69489
204,-0.64487
205,-0.59485
206,-0.54482
207,-0.49480
208,-0.44478
209,-0.39475
210,-0.34473
211,-0.29471
212,-0.24469
213,-0.19466
214,-0.14464
215,-0.09462
216,-0.04459
217,0.00543
218,0.05545
219,0.10547
